scenario,credit_eur_t,p_bar_eur_mwh,CF_mean,LCOC_median,LCOC_p05,LCOC_p95,net_removals_mean_t,net_share_of_gross
today,100,58.0,0.246,905.551,834.874,970.442,21222.704,0.492
today,200,258.0,1.0,314.765,313.567,315.943,82915.63,0.472
today,300,458.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,400,658.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,500,858.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,600,1058.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,800,1458.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,1000,1858.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,1200,2258.0,1.0,314.765,313.567,315.943,82915.671,0.472
today,1500,2858.0,1.0,314.765,313.567,315.943,82915.671,0.472
necp_2030_low,100,58.0,0.251,887.508,819.54,969.057,21710.634,0.492
necp_2030_low,200,258.0,1.0,314.518,313.331,315.865,82915.632,0.472
necp_2030_low,300,458.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,400,658.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,500,858.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,600,1058.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,800,1458.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,1000,1858.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,1200,2258.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_low,1500,2858.0,1.0,314.518,313.331,315.865,82915.671,0.472
necp_2030_central,100,58.0,0.266,840.173,778.167,917.317,23033.306,0.493
necp_2030_central,200,258.0,1.0,313.785,312.455,315.129,82915.586,0.472
necp_2030_central,300,458.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,400,658.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,500,858.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,600,1058.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,800,1458.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,1000,1858.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,1200,2258.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_central,1500,2858.0,1.0,313.785,312.455,315.129,82915.671,0.472
necp_2030_high,100,58.0,0.283,795.583,740.982,853.226,24586.292,0.494
necp_2030_high,200,258.0,1.0,312.863,311.596,313.903,82915.632,0.472
necp_2030_high,300,458.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,400,658.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,500,858.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,600,1058.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,800,1458.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,1000,1858.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,1200,2258.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2030_high,1500,2858.0,1.0,312.863,311.596,313.903,82915.671,0.472
necp_2035_central,100,58.0,0.3,757.315,708.854,810.079,26059.249,0.495
necp_2035_central,200,258.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,300,458.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,400,658.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,500,858.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,600,1058.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,800,1458.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,1000,1858.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,1200,2258.0,1.0,311.981,310.779,313.223,82915.671,0.472
necp_2035_central,1500,2858.0,1.0,311.981,310.779,313.223,82915.671,0.472
