,coef,se,pvalue
Intercept,13.89689769561833,1.5020844156995437,2.2086298631819007e-20
C(hour)[T.1],-0.16685059692146,0.8450346112257763,0.8434767823232648
C(hour)[T.2],0.6007484845090677,0.741880329924392,0.41807543860373375
C(hour)[T.3],0.6511135938379432,0.7427935509481939,0.38071800810330947
C(hour)[T.4],0.625086947663968,0.8002979263806675,0.4347626140221208
C(hour)[T.5],1.1660725053010224,0.804139201566398,0.14703401610201786
C(hour)[T.6],2.1086286635179268,0.7512232147476027,0.005001658744260136
C(hour)[T.7],2.6052967546210155,0.7228965669164082,0.0003133945568120177
C(hour)[T.8],3.304607298642705,0.6805568819701777,1.1993796716502614e-06
C(hour)[T.9],3.860680059336932,0.6594264910224586,4.781519101976761e-09
C(hour)[T.10],4.086384473827108,0.6491200948406731,3.0687069366226076e-10
C(hour)[T.11],4.594623833684253,0.6446447273699546,1.023021182395511e-12
C(hour)[T.12],4.506715190133961,0.6424976006192423,2.3098919446545802e-12
C(hour)[T.13],4.085667290577308,0.6509907195077624,3.472243021790391e-10
C(hour)[T.14],4.0955079341052905,0.661341327788716,5.913116887244941e-10
C(hour)[T.15],3.3735660226182014,0.7113122289535228,2.108511072311492e-06
C(hour)[T.16],2.6761289995812594,0.9605764565938887,0.005336921450059463
C(hour)[T.17],2.5802055482583217,1.2001092728374176,0.031557151840376434
C(hour)[T.18],2.5099929159613494,1.2063804256027435,0.037470700781503816
C(hour)[T.19],2.201286831225849,1.2025866725290482,0.06718117901854757
C(hour)[T.20],1.5053641713920138,1.1926657500078248,0.20688242046158167
C(hour)[T.21],-17.270832025311392,7657.213120874169,0.9982003741669697
C(hour)[T.22],0.6847187651439077,0.8401523129010499,0.41507596866101837
C(hour)[T.23],-0.2873550494859601,0.9387837080616285,0.7595338959462217
C(daytype)[T.workday],0.7807659376851923,0.25226815653947393,0.0019682343677830233
C(month)[T.2],-42.85289000280991,1680749579.941155,0.9999999796568985
C(month)[T.3],-2.268662031412273,0.9343218678774495,0.015176585250154952
C(month)[T.4],-1.3692873652904214,0.8007227377689007,0.08725398409598585
C(month)[T.5],-1.2464662452506317,0.7866468799710886,0.1130729681872696
C(month)[T.6],-1.8314002655302317,0.7915924074741518,0.020691610868708528
C(month)[T.7],-2.6286277149134527,0.8111943346542577,0.0011934479467613863
C(month)[T.8],-2.513835619059715,0.8346090670681352,0.0025953965663995343
C(month)[T.9],-3.9534167992073828,0.9367553179433028,2.4394469421893674e-05
C(month)[T.10],-3.1492057556593918,1.082817193851415,0.003633474778686851
C(month)[T.11],-33.74236465659242,15517541.135022644,0.9999982650271992
C(month)[T.12],1.548568907189719,0.7896923486546111,0.049881650666451685
resload_gw,-3.285262408013302,0.21284178517773333,9.485818854944672e-54
