,,p_surplus
by_hour,0,0.1893
by_hour,1,0.1951
by_hour,2,0.2011
by_hour,3,0.2051
by_hour,4,0.2126
by_hour,5,0.2296
by_hour,6,0.2315
by_hour,7,0.2215
by_hour,8,0.233
by_hour,9,0.2427
by_hour,10,0.2527
by_hour,11,0.2628
by_hour,12,0.2649
by_hour,13,0.2586
by_hour,14,0.2572
by_hour,15,0.2485
by_hour,16,0.2671
by_hour,17,0.2855
by_hour,18,0.265
by_hour,19,0.221
by_hour,20,0.1892
by_hour,21,0.1769
by_hour,22,0.1803
by_hour,23,0.187
by_month,1,0.1545
by_month,2,0.075
by_month,3,0.1516
by_month,4,0.2342
by_month,5,0.2137
by_month,6,0.1708
by_month,7,0.155
by_month,8,0.2067
by_month,9,0.0734
by_month,10,0.265
by_month,11,0.4811
by_month,12,0.6166
by_daytype,weekend_holiday,0.2833
by_daytype,workday,0.2023
