p_bar_eur_mwh,CF_mean,LCOC_median,net_removals_mean_t,cost_per_net_t
-20.0,0.013,15680.61,1185.161,30147.672
-10.0,0.022,9474.673,1942.015,18426.196
0.0,0.034,6037.731,3048.697,11863.963
10.0,0.052,3943.05,4612.839,7814.657
20.0,0.076,2717.525,6717.248,5413.934
30.0,0.107,1958.504,9413.675,3916.436
40.0,0.146,1464.152,12733.63,2941.9
50.0,0.195,1117.573,16948.625,2260.152
60.0,0.26,858.948,22434.481,1749.185
70.0,0.341,679.733,29237.141,1392.561
80.0,0.433,558.808,36895.905,1151.032
90.0,0.528,477.743,44805.844,989.159
100.0,0.623,422.927,52578.957,879.916
110.0,0.712,385.823,59821.122,806.044
120.0,0.789,360.606,66083.943,755.886
130.0,0.852,343.91,71219.496,722.91
140.0,0.902,332.697,75198.19,700.93
150.0,0.938,325.32,78091.824,686.601
160.0,0.963,320.697,80068.545,677.739
170.0,0.98,317.967,81334.856,672.606
180.0,0.99,316.282,82116.933,669.466
190.0,0.995,315.432,82539.414,667.913
200.0,0.998,315.048,82758.801,667.241
210.0,0.999,314.866,82858.578,666.93
220.0,1.0,314.796,82898.786,666.816
230.0,1.0,314.779,82911.991,666.791
240.0,1.0,314.765,82914.796,666.765
250.0,1.0,314.765,82915.545,666.766
260.0,1.0,314.765,82915.63,666.766
